"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"674768",466240784,"11/29/12","8:22:00 PM","METER PARKING VIOLATION","920 N 12TH ST"
"207530",461239225,"4/10/12","1:02:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3205 N NEWHALL ST"
"637514",465764165,"11/8/12","2:38:00 AM","NIGHT PARKING - WRONG SIDE","2614 W MITCHELL ST"
"660706",465893816,"11/20/12","2:35:00 AM","NIGHT PARKING","4424 N 63RD ST"
"230275",461588326,"4/21/12","12:38:00 PM","METER PARKING VIOLATION","2943 N OAKLAND ST"
"21122",459121040,"1/10/12","4:05:00 PM","METER PARKING VIOLATION","1109 W KILBOURN ST"
"169823",460724110,"3/21/12","11:09:00 AM","METER PARKING VIOLATION","224 W WISCONSIN AVE"
"101577",460330780,"2/17/12","12:31:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2900 N MARYLAND AVE"
"426804",463698130,"7/28/12","5:51:00 AM","NIGHT PARKING - WRONG SIDE","1932 N 51ST ST"
"196359",461211542,"4/4/12","4:49:00 AM","NIGHT PARKING - WRONG SIDE","4166 N 39TH ST"
"635270",465750025,"11/7/12","5:42:00 PM","METER PARKING VIOLATION","1127 N WATER ST"
"228006",461454980,"4/20/12","5:40:00 AM","NIGHT PARKING - WRONG SIDE","2460 N 38TH ST"
"607940",465265964,"10/25/12","9:21:00 PM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","2655 N 47TH ST"
"209980",461398825,"4/11/12","1:49:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1620 N 10TH ST"
"533466",464709663,"9/19/12","5:29:00 PM","METER PARKING VIOLATION","423 E ST PAUL AVE"
"362803",463018522,"6/25/12","11:39:00 AM","METER PARKING VIOLATION","522 N PLANKINTON AV"
"727828",466459210,"12/22/12","2:22:00 AM","NIGHT PARKING - WRONG SIDE","832 W OHIO AVE"
"177558",461044463,"3/26/12","2:49:00 AM","NIGHT PARKING - WRONG SIDE","3022 W PIERCE ST"
"425946",463618573,"7/27/12","5:01:00 AM","NIGHT PARKING","2656 N 48TH ST"
"431098",463651300,"7/31/12","4:21:00 AM","NIGHT PARKING","3072 S 47TH ST"
"446478",463892122,"8/8/12","10:07:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2956 N 52 ST"
"395233",463333920,"7/11/12","2:52:00 AM","NIGHT PARKING","2971 N NEWHALL ST"
"176842",461048991,"3/24/12","6:29:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2701 S 15TH ST"
"571341",465051786,"10/6/12","3:39:00 AM","NIGHT PARKING","2927 N CRAMER ST"
"688896",466262112,"12/5/12","2:47:00 AM","NIGHT PARKING - WINTER RESTRICTED","1570 S 6TH ST"
"14570",459442620,"1/7/12","5:00:00 AM","NIGHT PARKING","547 N 20TH ST"
